player_name,player_type
Patrick Kypson,All-Court Balanced
Patrick Mcenroe,Counter-Puncher
Patrick Rafter,All-Court Balanced
Paul Annacone,All-Court Balanced
Paul Capdeville,Counter-Puncher
Paul Chamberlin,Baseline Grinder
Paul Haarhuis,Counter-Puncher
Paul Henri Mathieu,Counter-Puncher
Paul Jubb,Counter-Puncher
Pavel Kotov,Counter-Puncher
Pavel Tsoy,Baseline Grinder
Pedja Krstin,Counter-Puncher
Pedro Araujo,Counter-Puncher
Pedro Cachin,All-Court Balanced
Pedro Martinez,Counter-Puncher
Pedro Sousa,Counter-Puncher
Pete Sampras,All-Court Balanced
Peter Bertran,Baseline Grinder
Peter Doohan,All-Court Balanced
Peter Fajta,Baseline Grinder
Peter Gojowczyk,All-Court Balanced
Peter Lundgren,All-Court Balanced
Peter Polansky,Counter-Puncher
Petr Korda,Counter-Puncher
Petros Tsitsipas,Baseline Grinder
Philipp Kohlschreiber,Counter-Puncher
Philipp Petzschner,All-Court Balanced
Pierre Hugues Herbert,Big-Serve Aggressor
Pol Martin Tiffon,Baseline Grinder
Potito Starace,Counter-Puncher
Prajnesh Gunneswaran,Baseline Grinder
Preston Stearns,Counter-Puncher
Quentin Halys,Big-Serve Aggressor
Radek Stepanek,Counter-Puncher
Radu Albot,Counter-Puncher
Rafael Arevalo,Baseline Grinder
Rafael Jodar,Counter-Puncher
Rafael Nadal,Counter-Puncher
Rainer Schuettler,Counter-Puncher
Ramkumar Ramanathan,Baseline Grinder
Raphael Collignon,Counter-Puncher
Raul Brancaccio,Counter-Puncher
Raul Ramirez,Counter-Puncher
Rei Sakamoto,All-Court Balanced
Reilly Opelka,Big-Serve Aggressor
Renzo Furlan,All-Court Balanced
Renzo Olivo,Counter-Puncher
Ricardas Berankis,Counter-Puncher
Ricardo Hocevar,Counter-Puncher
Riccardo Bonadio,Counter-Puncher
Richard Gasquet,Counter-Puncher
Richard Krajicek,All-Court Balanced
Richey Reneberg,Counter-Puncher
Rinky Hijikata,Counter-Puncher
Rio Noguchi,Big-Serve Aggressor
Robby Ginepri,Counter-Puncher
Robert Kendrick,All-Court Balanced
Roberto Bautista Agut,Counter-Puncher
Roberto Carballes Baena,Counter-Puncher
Roberto Cid,Counter-Puncher
Roberto Marcora,Baseline Grinder
Roberto Quiroz,Baseline Grinder
Robin Bertrand,Baseline Grinder
Robin Haase,All-Court Balanced
Robin Soderling,All-Court Balanced
Robin Vik,Baseline Grinder
Rod Frawley,Counter-Puncher
Rod Laver,Counter-Puncher
Rodrigo Pacheco Mendez,All-Court Balanced
Roger Federer,All-Court Balanced
Rogerio Dutra Silva,All-Court Balanced
Roman Andres Burruchaga,Counter-Puncher
Roman Safiullin,Big-Serve Aggressor
Ronit Karki,Baseline Grinder
Roscoe Tanner,All-Court Balanced
Roy Smith,All-Court Balanced
Ruben Bemelmans,Baseline Grinder
Ruben Gonzales,All-Court Balanced
Ruben Ramirez Hidalgo,Counter-Puncher
Rudolf Molleker,All-Court Balanced
Rudy Coco,Baseline Grinder
Ryan Harrison,All-Court Balanced
Ryan Seggerman,All-Court Balanced
Saidalo Saidkarimov,All-Court Balanced
Salvatore Caruso,Counter-Puncher
Sam Querrey,All-Court Balanced
Samuel Groth,All-Court Balanced
Sanam Singh,Baseline Grinder
Sandro Ehrat,Counter-Puncher
Sanjar Fayziev,Counter-Puncher
Santiago Giraldo,Counter-Puncher
Sargis Sargsian,All-Court Balanced
Sascha Gueymard Wayenburg,Counter-Puncher
Scott Draper,All-Court Balanced
Scott Griekspoor,Counter-Puncher
Scoville Jenkins,Baseline Grinder
Sebastian Baez,Counter-Puncher
Sebastian Fanselow,All-Court Balanced
Sebastian Korda,Big-Serve Aggressor
Sebastian Ofner,Counter-Puncher
Sebastien Grosjean,All-Court Balanced
Seong Chan Hong,All-Court Balanced
Sergey Fomin,Counter-Puncher
Sergi Bruguera,Counter-Puncher
Sergio Casal,Counter-Puncher
Sergio Cortes,Counter-Puncher
Sergiy Stakhovsky,All-Court Balanced
Shintaro Mochizuki,Counter-Puncher
Sho Katayama,All-Court Balanced
Sho Shimabukuro,Baseline Grinder
Simone Bolelli,Counter-Puncher
Sjeng Schalken,Counter-Puncher
Slobodan Zivojinovic,All-Court Balanced
Somdev Devvarman,Baseline Grinder
Soon Woo Kwon,All-Court Balanced
Stan Smith,All-Court Balanced
Stan Wawrinka,All-Court Balanced
Stefan Edberg,All-Court Balanced
Stefan Koubek,Baseline Grinder
Stefan Kozlov,All-Court Balanced
Stefano Napolitano,All-Court Balanced
Stefano Pescosolido,Counter-Puncher
Stefano Travaglia,Counter-Puncher
Stefanos Sakellaridis,Big-Serve Aggressor
Stefanos Tsitsipas,Big-Serve Aggressor
Stephane Robert,Counter-Puncher
Steve Darcis,Counter-Puncher
Steve Denton,Baseline Grinder
Steve Johnson,All-Court Balanced
Steven Diez,Counter-Puncher
Strong Kirchheimer,Counter-Puncher
Sumit Nagal,Counter-Puncher
Takao Suzuki,All-Court Balanced
Tallon Griekspoor,All-Court Balanced
Taro Daniel,Counter-Puncher
Taylor Dent,All-Court Balanced
Taylor Fritz,Big-Serve Aggressor
Tennys Sandgren,All-Court Balanced
Terence Atmane,Baseline Grinder
Teymuraz Gabashvili,Counter-Puncher
Thai Son Kwiatkowski,All-Court Balanced
Thanasi Kokkinakis,All-Court Balanced
Thiago Agustin Tirante,Counter-Puncher
Thiago Monteiro,Big-Serve Aggressor
Thiago Seyboth Wild,Counter-Puncher
Thiemo De Bakker,All-Court Balanced
Thierry Champion,Counter-Puncher
Thijs Boogaard,Counter-Puncher
Thomas Enqvist,All-Court Balanced
Thomas Fabbiano,Counter-Puncher
Thomas Johansson,All-Court Balanced
Thomas Muster,Counter-Puncher
Thomaz Bellucci,Counter-Puncher
Ti Chen,All-Court Balanced
Tim Henman,All-Court Balanced
Tim Mayotte,Baseline Grinder
Tim Smyczek,Counter-Puncher
Tim Van Rijthoven,All-Court Balanced
Tim Wilkison,Counter-Puncher
Timofey Skatov,Counter-Puncher
Titouan Droguet,Baseline Grinder
Tobias Kamke,Counter-Puncher
Todd Martin,All-Court Balanced
Todd Reid,Counter-Puncher
Todd Woodbridge,Counter-Puncher
Tomas Barrios Vera,Baseline Grinder
Tomas Behrend,Baseline Grinder
Tomas Berdych,All-Court Balanced
Tomas Carbonell,Counter-Puncher
Tomas Machac,Big-Serve Aggressor
Tomas Martin Etcheverry,Counter-Puncher
Tomas Smid,All-Court Balanced
Tomas Zib,Baseline Grinder
Tomasz Berkieta,All-Court Balanced
Tommy Haas,Counter-Puncher
Tommy Paul,Big-Serve Aggressor
Tommy Robredo,Counter-Puncher
Tony Roche,Baseline Grinder
Tristan Schoolkate,All-Court Balanced
Tsung Hua Yang,All-Court Balanced
Tung Lin Wu,All-Court Balanced
Ty Trombetta,Baseline Grinder
Ugo Blanchet,Counter-Puncher
Ugo Humbert,Big-Serve Aggressor
Uladzimir Ignatik,All-Court Balanced
Ulises Blanch,All-Court Balanced
Vaclav Safranek,Counter-Puncher
Valentin Royer,All-Court Balanced
Valentin Vacherot,All-Court Balanced
Vasek Pospisil,All-Court Balanced
Victor Estrella,Counter-Puncher
Victor Hanescu,Baseline Grinder
Victor Pecci,Counter-Puncher
Viktor Durasovic,Counter-Puncher
Viktor Troicki,Counter-Puncher
Vilius Gaubas,Counter-Puncher
Vincent Millot,Counter-Puncher
Vincent Spadea,Baseline Grinder
Vincenzo Santopadre,All-Court Balanced
Vit Kopriva,Baseline Grinder
Vitas Gerulaitis,Counter-Puncher
Vladimir Ivanov,All-Court Balanced
Vladimir Voltchkov,All-Court Balanced
Wally Masur,Counter-Puncher
Wayne Arthurs,All-Court Balanced
Wayne Ferreira,All-Court Balanced
Wayne Odesnik,Counter-Puncher
Werner Eschauer,Counter-Puncher
Wesley Moodie,Baseline Grinder
William Rejchtman Vinciguerra,Baseline Grinder
Xavier Malisse,Counter-Puncher
Yannick Hanfmann,Big-Serve Aggressor
Yannick Maden,Counter-Puncher
Yannick Mertens,Counter-Puncher
Yannick Noah,All-Court Balanced
Yasutaka Uchiyama,All-Court Balanced
Yen Hsun Lu,Counter-Puncher
Yevgeny Kafelnikov,All-Court Balanced
Yi Zhou,All-Court Balanced
Yibing Wu,Big-Serve Aggressor
Yoshihito Nishioka,Counter-Puncher
Yosuke Watanuki,All-Court Balanced
Younes El Aynaoui,Big-Serve Aggressor
Younes Lalami Laaroussi,Counter-Puncher
Yu Hsiou Hsu,Baseline Grinder
Yuichi Ito,Baseline Grinder
Yuichi Sugita,Counter-Puncher
Yuki Bhambri,All-Court Balanced
Zachary Svajda,Baseline Grinder
Zdenek Kolar,Counter-Puncher
Ze Zhang,Baseline Grinder
Zeljko Krajan,Counter-Puncher
Zhe Li,Counter-Puncher
Zhizhen Zhang,Big-Serve Aggressor
Zizou Bergs,Big-Serve Aggressor
Zsombor Piros,Counter-Puncher
